title,published_at,content,url,source_name,domain,sub_domain,crawled_at,category,category_method
10 University Battery Breakthroughs Reshaping the Industry,2026-07-13,"July 13, 2026
Start slideshow
Former UChicago PME grad student Grant Hill and UChicago PME Assoc. Prof. Chong Liu are behind a new, promising way to extract the battery material lithium from water.
John Zich / UChicago
The future of energy storage is being written in university laboratories around the world. As the global transition to electric vehicles and renewable energy accelerates, academic researchers are tackling the fundamental challenges that will determine whether batteries can meet surging demand while becoming safer, longer-lasting, and more sustainable. Here in the US, from North Carolina to California, from Michigan to Chicago, university teams are achieving breakthroughs that promise to reshape how we power everything from wearable devices to electric vehicles—and they're doing it with fresh perspectives, bold experimentation, and an enthusiasm for solving problems that have stumped the industry for years.
Recent research highlights showcase the remarkable breadth of innovation emerging from academic institutions. Engineers are developing batteries that run on ambient moisture and can self-destruct on command. They're creating diagnostic systems that could double the lifespan of silicon-enhanced EV batteries by learning how batteries age and adapting in real-time. Researchers are finding ways to transform spent battery waste into higher-performance materials, turning yesterday's trash into tomorrow's treasure. And they're cracking the code on extracting lithium—the vital element at the heart of every battery—with unprecedented purity and efficiency.
Battery Breaking-News Headlines
What makes these advances particularly exciting is not just their technical merit, but the energy and creativity driving them forward. University laboratories bring together experienced faculty mentors and talented graduate students and postdoctoral researchers who approach longstanding problems with fresh eyes and innovative thinking. The result is a pipeline of breakthrough ideas that industry partners are already beginning to adopt and scale. As battery demand continues to surge and environmental concerns mount, the work happening on campuses today is laying the groundwork for the sustainable energy infrastructure of tomorrow.
The following slideshow presents ten groundbreaking studies published recently, each representing a different approach to advancing battery technology.
Start slideshow
Michael C. Anderson
As editor-in-chief of
Battery Technology
, Michael C. Anderson leads the brand’s coverage of advancements in battery technology as well as associated materials and manufacturing techniques across industries such as automotive/EVs, e-mobility, maritime, aerospace, medtech, and consumer electronics.
Mike is also a member of
The Battery Show North America Advisory Board
, where he contributes his expertise to advising on industry trends and speaker selection for The Battery Show North America while helping to shape discussions on battery technology and electrification.
Battery Technology
senior editor Maria Guerra De Egui are joint
2025 Neal Award Winners
in the category of ""Best Coverage of the 2024 Election on Your Served Market.""
Mike was a recent guest journalist on the popular automotive-industry webcast, Autoline After Hours.
Mike has been covering manufacturing and transportation technology developments for more than 25 years. At SME (
The Society of Manufacturing Engineers
), he served as lead editor of
Aerospace & Defense Manufacturing
, lead editor of
Medical Manufacturing
, senior editor for
Manufacturing Engineering,
and acting lead editor of
Smart Manufacturing
. He has also been senior editor of
Cutting Tool Engineering
, senior technical editor of Gardener Business Media’s
Automotive Design & Production
, PR manager at B2B advertising/PR agency G. Temple Associates, and editor at the SM Wu Manufacturing Research Center at the University of Michigan.
This all followed more than a decade of teaching English, ESL, literature, and argumentation as a lecturer at Eastern Michigan University (Ypsilanti, MI) and, for five years, at Sakura no Seibo Junior College (Fukushima, Japan).
Mike has a bachelor’s degree in English language and literature and a master’s degree in rhetoric and written communication from Eastern Michigan University.
See more from
Michael C. Anderson",https://www.batterytechonline.com/battery-news/10-university-breakthroughs-reshaping-the-future-of-battery-technology,Battery Tech Online,电池,无,2026-07-13T16:30:03+00:00,,
Australia home battery installs fall as market shifts to smaller systems - Energy Storage,2026-07-13,"said a combined 1.07 GWh of small-scale battery energy storage was registered across Australia in June 2026, down 28.3% on the 1.51 GWh of capacity installed in May, as the market recalibrates following changes introduced to the federal government’s cheaper home battery rebate scheme.
The latest tally – well down on the record 2.43 GWh registered in
– is the second consecutive monthly decline but SunWiz Managing Director Warwick Johnston said installation volumes are still tracking above historical averages.
At 1.07 GWh, the June tally dipped just below the rising 12-month trendline but Johnston said it is well above where the year began, describing the result as “a controlled reset rather than a structural decline.”
“National energy storage system registrations eased in June as the demand pulled forward ahead of the rebate change continued to unwind,” he said. “Yet volumes remain roughly triple their year-ago level, and beneath the headline, the market is right-sizing, rotating out of oversized systems into mid-scale 20 kWh to 30 kWh storage.”
Johnston said the latest data marks a “healthy reset” after a rebate-driven surge driven by changes made to Australia’s AUD 7.2 billion ($4.99 billion) Cheaper Home Batteries scheme that provides discounts of up to 30% on the upfront cost of installing small-scale battery systems alongside new or existing rooftop solar.
Government figures show the scheme has supported the installation of more than 466,000 residential battery systems with a combined capacity in excess of 12 GWh since it was launched in July 2025 with many of the early installations tending towards oversized rebate-driven batteries.
To ensure the financial sustainability of the program, the government ushered in changes on May 1, 2026, with incentives now tiered and adjusted according to the size of the battery and SunWiz said demand is gradually consolidating toward right-sized systems.
The national average battery capacity decreased in June, easing to 26.16 kWh from May’s 38 kWh and April’s 44 kWh peak as demand for larger systems declined.
SunWiz said the 40-50 kWh band had unwound sharply in June, down about 46% month-on-month, and the 10-20 kWh band eased about 42%.
The 20-30 kWh band was the only segment to grow, surging 114% to cement its role as the market’s new centre of gravity, even as 40-50 kWh systems still lead on absolute volume.
The decline in registrations was spread across all states with Western Australia and Queensland down 12% on the previous month, while New South Wales posted the steepest decline, easing 37%. The Victorian and South Australian volumes eased by 31%.",https://www.ess-news.com/2026/07/13/australia-home-battery-installs-fall-as-market-shifts-to-smaller-systems/,ESS News,储能,储能项目/应用,2026-07-13T17:06:02+00:00,,
BYD to supply 11.275 GWh for Masdar's Abu Dhabi RTC project - Energy Storage,2026-07-13,"BYD Energy Storage has agreed to supply 11.275 GWh of battery storage to Masdar for part of an Abu Dhabi project to deliver RTC renewable power from solar generation and battery storage.
Masdar and Emirates Water and Electricity Co. (EWEC) are developing the project in Abu Dhabi with 5.2 GW of solar generation and 19 GWh of battery storage. Masdar has described it as the world’s first large-scale round-the-clock gigascale renewable energy project. The project is expected to come online in 2027.
BYD’s contract covers a single storage station within the project rated at 1,644 MW/11,275 MWh, using BYD’s Haohan battery system, the company said. BYD said the Haohan system uses a 2,710 Ah cell from its Blade Battery line, which the company said increases single-cell capacity by more than 300% compared with earlier generations and is designed to operate in temperatures from -30°C to 55°C.
The contract follows an earlier BYD deal with Saudi Electricity Co. for a 12.5 GWh grid-scale storage project in Saudi Arabia, which BYD has described as the world’s largest grid-side battery storage project at the time it was announced.
Masdar and EWEC
first announced the RTC project in January 2025
and broke ground on the
in October 2025. Sungrow separately agreed to supply
7.5 GWh of battery storage
and 2.6 GW of PV inverter capacity for the project in May.",https://www.ess-news.com/2026/07/13/byd-to-supply-11-275-gwh-for-masdars-abu-dhabi-rtc-project/,ESS News,储能,储能项目/应用,2026-07-13T17:06:00+00:00,,
Energy Dome targets Australia's first commercial CO2 battery - Energy Storage,2026-07-13,"Victoria’s State Electricity Commission (SEC) will partner with Milan-based battery developer
to deploy a 10-hour duration compressed CO2 battery energy storage system near Morwell, Australia.
The project, to be built as part of a new 143-hectare energy innovation precinct to be established adjacent to the decommissioned coal-fired Hazelwood power station, will feature a 20 MW/200 MWh compressed CO2 battery capable of running continuously for 10 hours.
Once built, the system will be Victoria’s first long-duration energy storage (LDES) facility – with more than double the duration of any battery operating in the state today – and Australia’s first commercial compressed CO2 battery.
The SEC said while Australia has seen a proliferation of battery energy storage in recent years, much of this has focused on shorter-duration technologies, providing two to four hours of energy storage to support the grid during peak demand periods.
Chief Executive Officer Chris Miller said what makes the Hazelwood project particularly meaningful is that it reflects a growing recognition that long-duration energy storage is not just desirable, it is essential as power systems evolve.
“Long-duration energy storage will play a foundational, system-level role in Victoria’s future energy system, firming variable renewable generation from wind and solar to deliver the around-the-clock reliability of supply that’s needed to power our homes, businesses and communities,” he said. “As an integrated generator and retailer of 100% renewable electricity to commercial and industrial customers, we envisage long-duration energy storage will play a critical role in balancing our portfolio, enabling SEC to provide additional support to the system during multi-hour or multi-day wind or solar droughts.”
Energy Dome’s technology works by using grid power to compress CO2 gas into a highly dense liquid in a closed-loop thermo-mechanical system. When required, the liquid CO2 is expanded back into a gas through a turbine, generating electricity that is sent back to the grid. Crucially, the technology doesn’t rely on lithium or other rare earths so avoids critical-mineral supply-chain exposure.
The Italian company claims the system has a lifespan exceeding 30 years with no performance degradation, round-trip efficiency above 75%, and capital expenditure that is 1.7 times cheaper than lithium-ion batteries at comparable durations.
Energy Dome said the technology is already proven with a global pipeline of more than 30 GWh and projects underway in countries including the United States, Italy,
Claudio Spadacini, founder and CEO of Energy Dome, said the Hazelwood project will provide Victoria with the long-duration storage and grid support needed to enable a more reliable, renewable-powered energy system.
“Victoria is retiring coal and gas while chasing its 2030 clean energy targets, and that transition calls for firm capacity measured in hours rather than short peaks,” he said. “The CO2 battery answers that need, and it brings the physical inertia and grid services that hold a system steady as older generators come offline.”
While no timeline has been provided for the Hazlewood project, the SEC said planning and design has begun, with early stakeholder and community consultation now underway.
The battery is to be the first of a number of projects slated for the new SEC Energy Works energy innovation precinct planned for the Latrobe Valley.
Miller said the 143-hectare precinct, located in Hazelwood North, will provide a space for SEC to partner with industry to develop a range of new energy infrastructure and storage technologies that the tstate’s future energy system will require.
“SEC is excited to support future energy innovation at the precinct, providing early investment and allowing industry to build confidence to take new energy technologies to the next stage of commercialization, while supporting more renewable projects to connect to the grid,” he said.
Miller said projects developed at SEC Energy Works will add to the government-owned renewable energy company’s growing portfolio of assets, with 1,024 MW of committed projects to date. This includes the
Melbourne Renewable Energy Hub
, and the solar-BESS hybrid SEC Renewable Energy Park.",https://www.ess-news.com/2026/07/13/energy-dome-targets-australias-first-commercial-co2-battery/,ESS News,储能,储能项目/应用,2026-07-13T17:06:06+00:00,,
Tokyo Gas unit to test BESS-PV model in Thailand factories - Energy Storage,2026-07-13,"Japan’s Ministry of Economy, Trade and Industry (METI) has selected TGES for its Global South Future-Oriented Co-Creation Project. The program is funded through METI contributions to the Association for Overseas Technical Cooperation and Sustainable Partnerships’ ASEAN-Japan Economic and Industrial Cooperation Committee (AMEICC) and supports large-scale demonstrations in ASEAN member countries.
The roughly JPY 3.7 billion ($22.8 million) demonstration will install about 20 MWh of BESS capacity and about 20 MW of PV capacity across multiple high-demand factory sites in Thailand under an on-site power purchase agreement structure, TGES said. Under the model, PV output is used directly during the day, surplus solar charges the batteries, and stored power is discharged during evening hours or peak demand periods.
TGES said the project marks its first overseas demonstration of this integrated BESS-PV supply technology. The company cited a November 2024 domestic installation of solar and lithium-ion batteries at Honda’s Kumamoto plant and its Hosoe outboard motor factory in Shizuoka prefecture as its track record for the technology.
TGES said rising solar adoption in Thailand has created surplus midday electricity and grid-stability challenges, and that the demonstration aims to test whether battery storage can absorb excess solar generation and shift it to periods of higher demand.
The company said it will collect performance data on system effectiveness, equipment reliability, and operating conditions in Thailand’s high-temperature, high-humidity climate to support a broader commercial rollout of Japanese-made industrial BESS and PV equipment in the country.
TGES is a subsidiary of Tokyo Gas Group, operating under the group’s “IGNITURE” solutions brand, launched in 2023 around decarbonization, optimization, and resilience.",https://www.ess-news.com/2026/07/13/tokyo-gas-unit-to-test-bess-pv-model-in-thailand-factories/,ESS News,储能,储能项目/应用,2026-07-13T17:06:04+00:00,,
UmweltBank backs merchant battery storage project in Germany - Energy Storage,2026-07-13,"German lender UmweltBank has provided financing for an 11 MW/22 MWh standalone battery energy storage system (BESS( in Halle (Saale), Germany, using a financing structure based entirely on merchant market revenues.
The project, developed with CCE, was financed without floor-price or tolling agreements. UmweltBank said the 10-year financing structure is designed to maximize operational flexibility and revenue opportunities for the investor.
Holger Donhauser, head of renewable energy financing at UmweltBank, said only nine weeks elapsed between the customer’s investment decision and the first loan disbursement, reflecting the coordination between the parties involved.
UmweltBank entered the battery storage financing market earlier this year and said it has already financed several standalone and co-located battery projects.
Goran Basic, a member of UmweltBank’s management board, said the main challenge for battery storage financing is assessing long-term technical performance and future revenues. He said banks often take a more conservative view of merchant revenue risk and battery degradation than developers and investors.
The bank said it plans to finance additional storage projects, adding that co-located solar-plus-storage plants are emerging as the industry standard because of their strong economics. It said these projects are frequently supported by hybrid power purchase agreements (PPAs), an area where the bank has experience through PV and wind financing.
UmweltBank also said it plans to finance its first wind farms with integrated battery storage next year and is already developing a suitable PPA structure.",https://www.ess-news.com/2026/07/13/umweltbank-backs-merchant-battery-storage-project-in-germany/,ESS News,储能,储能项目/应用,2026-07-13T17:05:58+00:00,,
A $5M startup claims rare earth-free electric motor breakthrough,2026-07-13,"Fred Lambert
| Jul 13 2026 - 6:59 am PT
A Bengaluru startup called Vimag Labs just secured its fifth Indian patent for an electric motor that runs without any rare-earth magnets, using software and power electronics to generate its magnetic field instead.
It’s a small, $5-million company taking a swing at a problem that has stumped Tesla, GM, and every major automaker for years: how to build a competitive EV motor that doesn’t depend on China.
Almost every EV on the road uses a Permanent Magnet Synchronous Motor (PMSM), which relies on fixed rare-earth magnets embedded in the rotor to produce torque. Vimag’s Virtual Magnet Synchronous Motor (VMSM) does away with those magnets entirely.
Instead, it generates and controls the rotor’s magnetic field in real time using power electronics and proprietary control algorithms, while keeping a brushless, slip-ring-free design. The patent, titled “A Robust Rotating Transformer Excited Synchronous Motor and Its Control,” covers the core architecture.
The company says the platform matches or exceeds permanent-magnet performance without the magnets. That’s the claim — it has not been independently verified at production scale.
“This patent is the outcome of over 87,600 engineering hours,” said Manish Seth, co-founder and CEO of Vimag Labs, who started the company in September 2025. The patent brings Vimag to five granted patents, with another ten patents and fifteen trademarks in the pipeline.
Vimag says it’s running pilots with two-wheeler and passenger-vehicle manufacturers, and it recently raised a $5 million Series A led by Accel, with Chakra Growth Fund and Thinkuvate participating. It has also signed a manufacturing MoU with Jendamark to support scale-up, and it’s targeting industrial systems from 200 kW to 600 kW, plus robotics, defense, and cooling applications.
The supply-chain math explains why a motor like this matters. According to the International Energy Agency, China accounted for roughly 91% of global rare-earth refining and separation and 94% of sintered permanent-magnet production in 2024 — the exact magnets used in EV motors. China holds only about a third of global reserves, so its leverage comes from processing, not from the ground.
Beijing has been using that leverage. In April 2025, China imposed export controls on seven heavy rare-earth elements and related magnets, and the restrictions forced US and European automakers to trim production while licenses were sorted out. In October 2025, China went further with a “0.1%” de minimis rule targeting any foreign-made product containing Chinese rare-earth content.
There’s an important caveat the viral version of this story leaves out: China suspended that October expansion on November 7, 2025, for one year as part of a broader trade truce. The controls are paused, not gone — which is precisely why automakers aren’t slowing down their search for alternatives.
Vimag is not alone, and framing it as a lone genius would be a disservice to readers. It’s one bet among many, and the incumbents have deeper pockets.
Tesla said at its 2023 Investor Day that its next-generation motor would use no rare-earth elements, as
we reported at the time
, but it still hasn’t confirmed a production date. GM and Stellantis are backing Niron Magnetics, the Minnesota startup building iron-nitride “Clean Earth” magnets, in a bet
we covered when the automakers first invested
. Valeo’s magnet-free “iBEE” motor isn’t slated for commercialization until 2028. Honda has funded switched-reluctance-motor developer Enedym. And Jaguar Land Rover has
invested in rare-earth magnet recycling
The common thread: everyone is spending, and no one has a rare-earth-free drive unit in mass production yet. That’s the opening Vimag is trying to walk through.
The technology direction here is legitimate, and the patent and funding are real. Eliminating the rotor magnet using an externally excited, software-defined field is a genuinely different approach from the iron-nitride and ferrite paths most Western players are pursuing. If it works at scale, it sidesteps the rare-earth supply chain instead of trying to rebuild it, but that’s a big if.
The honest read is that this is a pilot-stage company with a lab-and-fleet motor, not a production one. Motors that shine in a pilot don’t always survive cost, durability, and efficiency testing at volume.
We’d take the “matches or exceeds permanent-magnet performance” claim with caution until there’s independent bench data. Efficiency, not just peak power, is where magnet-free designs usually give ground, and that directly hits EV range. What’s notable is that the rare-earth squeeze has made this whole category worth watching.
If you’re weighing the rising cost of powering an EV, home solar is one of the smartest ways to lock in low charging costs for the long haul. With electricity rates climbing nearly 10% last year, home solar protects you against future rate increases. And with lease and PPA options, you can go solar with zero upfront cost and start saving immediately. If you want to find the best deal, check out
. It’s a free service with hundreds of pre-vetted installers competing for your business, so you save 20 to 30% compared to going it alone. No sales calls until you pick an installer.
Get your free quotes here
Subscribe to Electrek on YouTube for exclusive videos
and subscribe to the
Fred is the Editor in Chief and Main Writer at Electrek.
Through Zalkon.com, you can check out Fred’s portfolio and get monthly green stock investment ideas.
Get an edge on MMA with the best stats
EnergySage helps you get the best price possible on a home solar installation for free and without hassel.",https://electrek.co/2026/07/13/vimag-labs-magnet-free-ev-motor-patent/,Electrek,电池,EV,2026-07-13T16:31:19+00:00,,
Germany wants rental e-scooter companies to pay for accidents,2026-07-13,"| Jul 13 2026 - 5:10 am PT
Germany is preparing to tighten the rules governing shared electric scooters, proposing new legislation that would make rental operators like Lime and Bolt directly liable for damages caused by their vehicles.
The proposed law aims to close what officials describe as a legal loophole that has often left accident victims without compensation. Under the current system, injured parties generally need to prove that the rider was at fault. That can be nearly impossible when the rider leaves the scene or cannot be identified.
Instead, the new legislation would place strict liability on rental operators as the registered owners of the scooters. Riders themselves would also be presumed at fault unless they can demonstrate otherwise. The proposal would even extend to incidents involving improperly parked scooters that block sidewalks and create hazards for pedestrians.
According to Germany’s Federal Ministry for Justice and Consumer Protection, the change reflects a simple principle: companies that profit from shared micromobility services should also bear the risks those services create.
The proposal would apply to rental e-scooters and certain self-balancing vehicles, though notably not to electric bicycles.
The move comes as e-scooter use has surged across Germany. The number of insured e-scooters grew from around 180,000 in 2020 to nearly one million by 2023, according to
. At the same time, third-party damage claims climbed from roughly 1,150 to 5,000 annually. While rental scooters accounted for only about 20% of insured scooters in 2023, they were involved in approximately 40% of insurance claims, highlighting their outsized role in accident statistics.
Germany isn’t alone in rethinking shared scooters. Several European cities have already taken stronger action.
Paris voted to eliminate rental e-scooters in 2023
, Madrid revoked operators’ licenses in 2024, Prague removed shared scooters earlier this year, and Brussels is set to do the same in 2027.
While shared e-scooters continue to offer a convenient transportation option for many riders, Germany’s proposal signals a growing expectation that operators should share greater responsibility for the safety impacts of their fleets.
Subscribe to Electrek on YouTube for exclusive videos
and subscribe to the
Micah Toll is a personal electric vehicle enthusiast, battery nerd, and author of the Amazon #1 bestselling books
DIY Lithium Batteries
DIY Solar Power,
The Ultimate DIY Ebike Guide
The Electric Bike Manifesto
The e-bikes that make up Micah’s current daily drivers are the
$999 Lectric XP 2.0
$1,095 Ride1Up Roadster V2
$1,199 Rad Power Bikes RadMission
$3,299 Priority Current
. But it’s a pretty evolving list these days.
Best $999 electric bike ever!
Great e-bikes at great prices!",https://electrek.co/2026/07/13/germany-wants-rental-e-scooter-companies-to-pay-for-accidents/,Electrek,电池,EV,2026-07-13T16:31:23+00:00,,
"Hyundai's electric hatch starts at under $30,000, and interest is already sky-high",2026-07-13,"Peter Johnson
| Jul 13 2026 - 7:59 am PT
The IONIQ 3 has received the “highest-ever” levels of customer interest for any
model (EV or gas), with prices starting under $30,000.
Hyundai’s electric hatch made its first public debut “on the road” in the UK at the Goodwood Festival of Speed (FOS) on Friday, ahead of its highly anticipated launch later this year.
The IONIQ 3 has received “the highest-ever level of customer interest recorded for a new Hyundai model,” the company said, gas-powered or EV.
With orders set to open soon, Hyundai confirmed IONIQ 3 prices are expected to start at under £25,000, or about $33,500.
Vertu Motors’ website
, the base Hyundai IONIQ 3 Standard Range model is already listed at £22,245 ($29,800).
It’s available in Standard or Extended Range versions with four different trim options: Advance, Premium, Ultimate, and N-Line Evo. The IONIQ 3 N, Hyundai’s electric hot hatch, will also join the lineup.
As Hyundai’s first compact EV in its IONIQ series, the electric hatch is positioned as a smaller, more affordable sibling to the IONIQ 5.
Although it’s part of the same lineup, the IONIQ 3 debuts a new “Aero Hatch” design that makes it distinct from Hyundai’s other electric vehicles.
The new look “reimagines the compact EV silhouette,” according to Hyundai. Not only that, but it also provides a drag coefficient of just 0.263, the best in its class.
At just 4,155 mm (163.5″) long, 1,800 mm (70.9″) wide, and 1,505 mm (59.3″) tall, with a wheelbase of 2,680 mm (105.5″), the IONIQ 3 is even slightly smaller than the new Chevy Bolt EV and Kia EV3.
Despite its compact size, the IONIQ 3 is more spacious than it looks, with a luggage capacity of 441 liters, which, according to Hyundai, is expected to “set the benchmark in the segment.”
Ashley Andrew, president of
Hyundai Motor UK
, said the IONIQ 3 will “open up electric driving to a whole new group of customers.”
“The fact that we’re already seeing record levels of interest before it’s even gone on sale tells us everything we need to know about its appeal,” Andrew added.
Based on the same E-GMP platform as Hyundai’s other IONIQ models, the IONIQ 3 will be available with two battery packs: 42.2 kWh and 61 kWh. The standard range (42.2 kWh) provides a WLTP range of up to 213 miles (344 km), while the extended-range battery (61 kWh) delivers up to 308 miles (496 km).
Unlike the IONIQ 5, the electric hatch is based on a 400V architecture rather than an 800V one to cut costs.
With DC fast charging, the IONIQ 3 can still recharge from 10% to 80% in about 29 minutes with the standard (42.2 kWh) battery. The long-range (61 kWh) battery takes about a minute longer at around 30 minutes.
The IONIQ 3 is also Hyundai’s first vehicle in Europe and the UK equipped with its new Pleos Connect OS and infotainment system.
Based on Android Automotive OS, the system is more like Tesla’s with a smartphone-like user interface.
The setup will be available with 12.9″ or 14.6″ center infotainment screens, plus an optional driver display. Like Volkswagen, Hyundai is bringing back physical buttons for climate control, audio, and more, located under the center infotainment and on the steering wheel.
Hyundai’s new system features an AI companion, Gleo AI, that learns and adapts to offer a more personalized experience.
Starting at just £22,245 ($29,800), the IONIQ 3 is an affordable, practical everyday electric hatch. With Hyundai’s latest tech and software, it’s no wonder the IONIQ 3 is seeing record customer interest.
Will Hyundai bring it to the US? Don’t get your hopes up. The IONIQ 3 is designed and built in Europe for European buyers.
The Trump Administration’s import tariffs would make it too expensive, plus hatchbacks are a tough sell in the US with Americans favoring large trucks and SUVs.
While those in the US will miss out on the IONIQ 3, the IONIQ 5 is
America’s best-selling EV
outside of Tesla so far this year for a reason.
The 2026 Hyundai IONIQ 5 starts at $35,000, making it
one of the most affordable electric vehicles
in the US. Like the IONIQ 3 for Europe, Hyundai builds the IONIQ 5 locally in the US at its Metaplant outside of Savannah, GA, enabling it to offer it at lower prices.
Subscribe to Electrek on YouTube for exclusive videos
and subscribe to the
Peter Johnson is covering the auto industry’s step-by-step transformation to electric vehicles. He is an experienced investor, financial writer, and EV enthusiast. His enthusiasm for electric vehicles, primarily Tesla, is a significant reason he pursued a career in investments. If he isn’t telling you about his latest 10K findings, you can find him enjoying the outdoors or exercising",https://electrek.co/2026/07/13/hyundais-ev-hatch-starts-at-30k-interest-is-sky-high/,Electrek,电池,EV,2026-07-13T16:31:18+00:00,,
Samsung's Texas fab enters production for Tesla's AI5 chip on 2nm,2026-07-13,"Fred Lambert
| Jul 13 2026 - 6:09 am PT
Samsung has completed its own version of Tesla’s AI5 self-driving chip and is preparing to start production at its foundry in Taylor, Texas, on the company’s latest 2-nanometer process, according to industry officials.
The move confirms Samsung is building AI5 on 2nm — a node that had been expected to debut with Tesla’s next-generation AI6 chip, not this one.
The disclosure came from James Kim, a principal engineer at Samsung Foundry, who wrote on LinkedIn that “the Tesla-Samsung AI5 chip has reached tape-out” and is “scheduled to be manufactured at the Taylor fab using our latest 2nm process and will soon be integrated into Tesla’s newest products.” Kim deleted the post after it was picked up by Korean news reports.
Tape-out marks the point at which a chip’s design is locked and handed over for manufacturing. From there, the design goes through prevalidation, photomask production, and wafer fabrication to create engineering samples, which must pass qualification with the customer before entering mass production.
reported in April
that Musk said Tesla had taped out AI5 to both Samsung and TSMC, with each foundry producing “slightly different versions” of the chip because, in his words, “they translate designs to physical form differently.” Kim’s post indicates Samsung has now fit that design to its own process and is ready to produce actual silicon.
Musk has already shown off a Samsung-made prototype. The AI5 chip he posted on X carried the marking “KR 2613,” indicating it was made in Korea in the 13th week of 2026 — evidence that Samsung’s engineering samples were already coming out of its Korean lines before the Texas fab took over.
The detail that stands out here is the process node.
The working assumption across the industry — and our own prior reporting — was that Samsung’s 2nm line was tied to the follow-on AI6 chip, while AI5 would be built on more mature nodes at TSMC. Kim’s post says AI5 itself is going on 2nm at Taylor.
That matters because Samsung’s 2nm yields have been the gating problem. We reported earlier this year that
AI6 had already slipped roughly six months on Samsung 2nm yield issues
, pushing its mass production to Q4 2027 at the earliest. Putting AI5 on the same node supports market assumptions that Samsung’s 2nm yield has now crossed 60% — the rough threshold where the process becomes viable for a high-volume customer like Tesla.
Samsung held an equipment installation ceremony at the Taylor fab in April and has said it expects volume production of Tesla’s AI chips there in the second half of 2027.
For Samsung, landing Tesla’s AI5 on 2nm is a proof point it badly needs. The company has trailed TSMC on advanced-node yield for years, and Taylor was a multibillion-dollar bet that has been searching for anchor customers.
There are signs it’s starting to pay off. Recent reports suggest Anthropic could manufacture its own AI chips through Samsung Foundry, and improving yields are exactly what would let Samsung pull in more customers of that caliber. Samsung declined to comment on anything related to its customers.
If Samsung is confident enough to run AI5 on 2nm at Taylor, its yield story is improving, and that’s good for anyone who wants a real second source to TSMC at the leading edge.
For Tesla, though, the same caveat applies as in April: tape-out and early production are milestones, not the finish line. Musk himself has said Tesla needs “several hundred thousand completed AI5 boards line side” before it can switch vehicle production over, and that volume isn’t expected until mid-2027. Engineering samples coming off a Texas line in 2026 don’t change that.
But from Tesla’s point of view, it doesn’t need AI5 to achieve unsupervised autonomy at scale. Of course, we heard that about HW3 before, and now AI4 and the company have yet to achieve unsupervised autonomy at scale.
And the bigger pattern still stands. AI5 is arriving nearly two years after Musk first said it would be in vehicles, the Cybercab is launching on old AI4 hardware, and the
AI4.5 stopgap computer quietly added to new Model Ys
exists precisely because AI5 kept slipping.
If you’re a Tesla owner, powering your EV with home solar is one of the smartest ways to lock in low fuel costs. With electricity rates climbing nearly 10% last year, home solar protects you against future rate increases. And with lease and PPA options, you can go solar with zero upfront cost and start saving immediately. If you want to find the best deal, check out
. It’s a free service with hundreds of pre-vetted installers competing for your business, so you save 20 to 30% compared to going it alone. No sales calls until you pick an installer.
Get your free quotes here
Subscribe to Electrek on YouTube for exclusive videos
and subscribe to the
Fred is the Editor in Chief and Main Writer at Electrek.
Through Zalkon.com, you can check out Fred’s portfolio and get monthly green stock investment ideas.
Get an edge on MMA with the best stats
EnergySage helps you get the best price possible on a home solar installation for free and without hassel.",https://electrek.co/2026/07/13/samsung-taylor-fab-tesla-ai5-chip-2nm/,Electrek,电池,EV,2026-07-13T16:31:21+00:00,,
