title,published_at,content,content_status,content_issue,content_extraction,url,source_name,domain,sub_domain,crawled_at,industry_primary_path,industry_top_level,industry_leaf,industry_classifications,industry_classification_status,industry_classified_at,industry_classifier_model,industry_taxonomy_version,industry_classification_error
TU Graz researchers boost lithium titanate conductivity through 'hole punching' crystal lattice - electrive.com,2026-08-21,"Researchers at TU Graz have found a way to significantly increase the ionic conductivity of lithium titanate, potentially opening up new possibilities for the battery anode material. By deliberately introducing defects into the material's crystal lattice structure, they ""activated a previously block pathway"" for lithium ions.
Oxygen (red), lithium (blue), and titanium (gray) form the crystal structure of the battery material lithium titanate.
Image: ICTM - TU Graz
Alongside graphite, lithium titanate (LTO) is a widely used anode material in batteries. However, in its untreated state, it conducts lithium ions poorly. Its high ionic conductivity only develops during battery charging, when additional lithium ions and electrons are intercalated into the material.
Researchers Bernhard Gadermaier and Martin Wilkening from the Institute of Chemical Technology of Materials at TU Graz have now succeeded in transforming pure (‘non-lithiated’) LTO with its original composition Li4Ti5O12 into a significantly better ionic conductor using an entirely new approach. The duo achieved this by deliberately creating ‘holes’ in the crystal lattice, known as oxygen vacancies. “When individual oxygen atoms are removed from the crystal lattice, these vacancies unlock a migration pathway for ions that was previously blocked. This diffusion path is already predefined by the LTO structure but is only activated by the defect structure,” explains Wilkening. The results of the experimental study were published in the journal
Science Advances
To create the vacancies in LTO, the researchers heated the lithium titanate in a low-oxygen atmosphere to 300 degrees Celsius. “This gentle heating removes individual oxygen atoms from the crystal lattice,” Wilkening continues. “The resulting anionic vacancies in the crystal lattice directly influence the mobility of lithium cations and transform the originally poor ionic conductor into a significantly better one. The example of LTO clearly demonstrates the enormous impact of atomic defect structures on the macroscopic function of a material.”
Complex experimental validation
The researchers experimentally demonstrated the rapid ion conduction using a combination of conductivity spectroscopy and nuclear magnetic resonance (NMR) spectroscopy. The NMR measurements provided direct experimental evidence of the newly activated atomic diffusion pathway.
“Our experimental study impressively shows that the properties of a solid are not solely determined by its chemical composition but are also significantly influenced by its local defect structure and thermal history,” summarises Martin Wilkening. “We demonstrate how the mobility of small lithium cations can be precisely controlled using classical concepts of anionic defect chemistry.”
The work also serves as a prime example of how curiosity-driven fundamental research can lead to new material functionalities,” the researchers note. “The targeted control of ionic conductivity through defect chemistry opens up long-term perspectives for ionotronic, memristive, and neuromorphic components in micro- and nanoelectronics.”
0 Comments
about „TU Graz researchers boost lithium titanate conductivity through ‘hole punching’ crystal lattice“
Also read
Schaeffler and CATL to deepen battery management collaboration
Autonomous Driving
ÖBB Postbus tests autonomous e-bus from Otokar
Neptune Energy advances Altmark lithium project",full,,dom_or_structured_full_text,https://www.electrive.com/2026/08/21/tu-graz-researchers-boost-lithium-titanate-conductivity-by-punching-holes-in-crystal-lattice/,electrive,电池,电气化交通工具,2026-08-21T22:25:15+00:00,零碳产业 > 能量循环 > 能量存储 > 电化学储能 > 二次电池 > 锂电池,零碳产业,锂电池,"[{""path"":[""零碳产业"",""能量循环"",""能量存储"",""电化学储能"",""二次电池"",""锂电池""],""path_text"":""零碳产业 > 能量循环 > 能量存储 > 电化学储能 > 二次电池 > 锂电池"",""confidence"":0.9,""reason"":""核心是提升锂钛氧化物负极材料离子导率的电池材料研究""}]",classified,2026-08-21T23:07:50.971629+00:00,glm-5.2,2026-08-14,
‘Shock therapy’: Could EU slash China tariffs in deal to save jobs as EVs surge? – Batteries International,2026-08-21,"Europe faces trading-off EV manufacturing sovereignty in return for protecting auto sector jobs with Chinese investment, according to a white paper by energy data analytics firm Wood Mackenzie. Europe’s auto giants have already announced some 60,000 layoffs this year, with more potentially on the horizon — but the EU could offer tariff relief in return for more Chinese cash for local manufacturing, under Wood Mackenzie’s ‘electric shock’ scenario. The white paper, entitled Electric shock: how electric vehicles could hit the accelerator , released on August 17, sets the EU’s dilemma against the backdrop of EVs commanding a growing share of the global vehicle market. There are implications for US policymakers and investors too. The electric shock scenario explores how oil supply concerns, policy decisions and technological innovation, could converge to accelerate that growth and send EV adoption into overdrive — with implications for fossil fuels and battery materials. Under the scenario, global oil demand could fall to 99 million barrels per day in 2040, bringing forward the closure of about 40 oil refineries worldwide. Reductions In Europe, one option could be to give tariff relief for Chinese investment in local manufacturing, protecting jobs while accelerating the EV transition. The result could be a European EV fleet 53% larger than the base case by 2040. New Chinese-backed factories, tariff reductions and fuel tax-funded purchase credits could lower the total cost of ownership for EVs in Europe by 23% in 2040. Meanwhile, in the US, abundant oil supplies mean the country has less of an incentive to shift to EVs than many other nations, Wood Mackenzie said. “Our base-case forecast sees EVs rising from 3% of the vehicle fleet today to 20% in 2040.” However, without advanced battery technologies, the US auto sector is at risk of ceding its home market to non-Chinese EVs and falling behind competitors internationally. Under the electric shock scenario, US policy support could encourage foreign direct investment and direct state capital to EV supply chains. Automakers could launch greenfield EV plants that deploy modular technologies, reducing EV production costs by up to 50% from current standards. Wood Mackenzie estimates that an additional $45 billion in greenfield metals supply over the next decade would be sufficient to support the overall accelerated EV growth projected. ‘Critical bottleneck’ But with copper a “most critical bottleneck”, annual mine capacity additions would need to rise from around 850,000 tonnes per annum (the long-term average) to around 960,000tpa through 2040, requiring roughly $25 billion of that additional investment. Much of that capital would need to flow into higher-risk jurisdictions including Argentina, the Democratic Republic of Congo and Pakistan. If established mining regions such as Chile, Peru and the US fail to streamline permitting and maintain competitive fiscal terms, a larger share of future growth will shift toward state-backed Chinese entities, deepening Western supply chain exposure. Meanwhile, lithium and nickel present a more acute version of the same challenge. China has established dominant positions in processing, refining, battery manufacturing and vehicle production, while increasingly expanding in upstream mining assets. Replicating that ecosystem elsewhere would take decades, while cobalt and manganese are less exposed to bottleneck risks. The onus is on the West for technology and supply-chain innovation, Wood Mackenzie said. In the near term, the West can license Chinese technology. Given Chinese leadership in advanced battery chemistries today, innovating new battery chemistries within the OECD will be a major challenge. Lithium-manganese-rich batteries hold the strongest potential for Western-led battery technology through 2040 while advanced LFP and sodium ion are also possibilities. However, China is ramping up investment in these chemistries aggressively. “Scaling up new technologies and supply chains in the West requires blending direct funding from Western automakers, governments and public sectors. Crucially, Europe and North America should work with Japanese and South Korean battery manufacturers. “Companies from these nations, looking to deploy capital into frontier chemistries rather than chase returns on legacy technologies, anchor our electric shock scenario.” The post ‘Shock therapy’: Could EU slash China tariffs in deal to save jobs as EVs surge? appeared first on Batteries International .",full,,rss_full_content,https://www.batteriesinternational.com/news/shock-therapy-could-eu-slash-china-tariffs-in-deal-to-save-jobs-as-evs-surge/,Batteries International,电池,无,2026-08-21T22:25:29+00:00,公共政策与社会治理 > 政策法规 > 产业与能源政策,公共政策与社会治理,产业与能源政策,"[{""path"":[""公共政策与社会治理"",""政策法规"",""产业与能源政策""],""path_text"":""公共政策与社会治理 > 政策法规 > 产业与能源政策"",""confidence"":0.85,""reason"":""核心是欧盟对华关税与电动车产业政策情景分析""},{""path"":[""通用技术"",""通信和运输"",""陆路运输""],""path_text"":""通用技术 > 通信和运输 > 陆路运输"",""confidence"":0.7,""reason"":""政策核心指向电动汽车制造与市场发展""}]",classified,2026-08-21T23:07:50.971629+00:00,glm-5.2,2026-08-14,
C&D secures ‘gold’ for advanced pure lead tech – Batteries International,2026-08-21,"Lead, News
Read Later
Brian McCrea, right, receives the award on behalf of C&D
C&D Technologies has been awarded a gold innovation award for its advanced MSE pure lead technology.
The company said on August 20 it had secured the honour in the 2026 ISE Network Innovators’ Awards, backed by the US-based ISE magazine, which recognise innovative technologies that help advance communications networks and critical infrastructure.
MSE pure lead is the foundation of C&D’s pure lead battery portfolio designed for telecoms and other mission-critical backup power applications. The technology delivers long service life, reliable performance in high-temperature environments and a lower total cost of ownership compared to conventional VRLA batteries, the company said.
According to C&D, while thin plate pure lead is the most common pure lead approach in the market, the tech focuses only on reducing grid corrosion.
“C&D’s approach focuses on improving both grid and paste. Our MSE paste combines innovative manufacturing processes with strategic use of pure lead to reduce paste dry out and improve its life by over 40%.”
In addition to the paste benefits, C&D said its grids are optimised to increase the battery’s lifespan.
Bob Malley, C&D’s VP of portfolio strategy, said: “As AI, edge computing and network expansion continue to drive power requirements, our pure lead technology provides the performance, reliability and operational efficiencies our customers depend on.”
Batteries International
reported
last year that C&D had secured a lead battery-powered UPS backup deal for a datacenter tailored to protect sensitive patient data for a major US healthcare provider.
In July 2026, Stryten Energy
announced
it had agreed to acquire C&D and Trojan Battery in one of the largest consolidations in the North American lead battery industry in recent years.
Photo: C&D Technologies",full,,dom_or_structured_full_text,https://www.batteriesinternational.com/news/cd-secures-gold-for-advanced-pure-lead-tech/,Batteries International,电池,无,2026-08-21T22:25:31+00:00,零碳产业 > 能量循环 > 能量存储 > 电化学储能 > 一次电池,零碳产业,一次电池,"[{""path"":[""零碳产业"",""能量循环"",""能量存储"",""电化学储能"",""一次电池""],""path_text"":""零碳产业 > 能量循环 > 能量存储 > 电化学储能 > 一次电池"",""confidence"":0.8,""reason"":""核心是纯铅备用电源电池技术创新获奖""}]",classified,2026-08-21T23:07:50.971629+00:00,glm-5.2,2026-08-14,
Greece includes energy storage in tighter new planning rules for renewables – Batteries International,2026-08-21,"An overhaul of planning rules for renewable energy projects in Greece has explicitly included battery storage systems for the first time. The Greek government said the new national spatial planning framework, announced on August 19, was needed to increase protection for the country’s environment and cultural heritage — while also formally integrating battery storage in particular into the renewables planning process. This means developers must comply with “spatial, environmental and regulatory criteria similar to renewable generation projects”, Greece’s environment and energy ministry said. Restrictions on energy storage facilities include being a minimum of 500 metres from bathing beaches, world heritage sites and archaeological areas of major importance. Energy storage and solar power facilities are also largely banned from high productivity  agricultural land. However, the framework stresses that the development of energy storage systems is necessary to support green transition goals. Under this guideline, new wind farms will be prohibited in certain areas of tourism. Exclusion zones have been expanded to include historical sites, ancient monuments and beaches. The framework strengthens requirements on setting up wind farms on islands. Assessments of new projects must consider the scale of projects, the character of the landscape and visual impact. New restrictions have also been introduced for islands with an area of less than 300km 2 , with certain exceptions such as for critical or public infrastructure. New photovoltaic plants are now excluded from areas such as landscapes of special natural beauty and on bathing beaches. The new rules supersede many of those in force since 2008 and follow public consultation. Renewables projects already in operation or at an advanced stage in the licensing process will continue to be governed by pre-existing rules. Environment and energy minister Stavros Papastavrou said: “Greece has a significant advantage: the sun and the wind. Their utilisation for energy production is a strategic choice for our country. However, it requires a plan, rules and respect for space and the environment.” Analysis published by the European Union earlier this year said Greece was among a broad group of EU member states showing “meaningful levels” of energy storage deployment — while plans for the rollout of much needed ESS capacity across Europe were uneven, fragmented and hindering investment. The post Greece includes energy storage in tighter new planning rules for renewables appeared first on Batteries International .",full,,rss_full_content,https://www.batteriesinternational.com/news/greece-includes-energy-storage-in-tighter-new-planning-rules-for-renewables/,Batteries International,电池,无,2026-08-21T22:25:32+00:00,公共政策与社会治理 > 政策法规 > 产业与能源政策,公共政策与社会治理,产业与能源政策,"[{""path"":[""公共政策与社会治理"",""政策法规"",""产业与能源政策""],""path_text"":""公共政策与社会治理 > 政策法规 > 产业与能源政策"",""confidence"":0.85,""reason"":""希腊将储能纳入可再生能源空间规划的新规""}]",classified,2026-08-21T23:07:50.971629+00:00,glm-5.2,2026-08-14,
EPRI to evaluate Qnetic’s flywheel energy storage tech in US – Batteries International,2026-08-21,"Flywheel energy storage tech developed by Qnetic is to undergo detailed analysis in the US by the independent research organisation EPRI. Qnetic told Batteries International on August 18 it had entered the Electric Power Research Institute’s ‘deRisked’ programme — where its Pulsar system will undergo a comprehensive independent evaluation of its performance, safety, reliability and commercial readiness. The announcement came just weeks after US-headquartered Qnetic began assembly of its first full-scale 200kWh Pulsar prototype and started building a test facility in China. The deRisk (readiness informed by shared knowhow, evaluation and data) programme provides independent technical due diligence for emerging storage technologies. Assessment includes testing and data analysis to help utilities evaluate new technologies based on objective performance data rather than vendor claims. Qnetic’s evaluation is sponsored by the Sacramento Municipal Utility District. Qnetic signed a contract to set up its California testing centre in Sacramento in 2025 as a next step toward full-scale manufacturing. Pulsar stores electricity mechanically rather than chemically, using a high-speed composite rotor suspended inside a vacuum enclosure. Unlike lithium ion batteries, the technology is designed to deliver decades of operation with minimal performance degradation, virtually unlimited cycling capability, rapid response times and predictable lifetime economics, Qnetic claimed. Target markets for the system include AI data centres, renewable energy integration, grid balancing, microgrids and industrial facilities. Qnetic CEO Michael Pratt said: “Independent validation has become just as important as technical innovation. By participating in EPRI’s programme and sharing extensive prototype and pilot data, we’re giving utilities the transparency they need to evaluate our technology on its technical merits and better understand where flywheel energy storage delivers the greatest value.” The post EPRI to evaluate Qnetic’s flywheel energy storage tech in US appeared first on Batteries International .",full,,rss_full_content,https://www.batteriesinternational.com/news/epri-to-evaluate-qnetics-flywheel-energy-storage-tech-in-us/,Batteries International,电池,无,2026-08-21T22:25:34+00:00,零碳产业 > 能量循环 > 能量存储 > 机械能 > 飞轮储能,零碳产业,飞轮储能,"[{""path"":[""零碳产业"",""能量循环"",""能量存储"",""机械能"",""飞轮储能""],""path_text"":""零碳产业 > 能量循环 > 能量存储 > 机械能 > 飞轮储能"",""confidence"":0.92,""reason"":""核心是Qnetic飞轮储能系统接受EPRI独立评估""}]",classified,2026-08-21T23:07:50.971629+00:00,glm-5.2,2026-08-14,
Enovix names Benton interim CEO as Talluri quits for ‘dream job’ – Batteries International,2026-08-21,"Raj Talluri has quit his post as president and CEO of advanced lithium ion cells developer and manufacturer Enovix, to lead Singapore-based semiconductor assembly tech firm Kulicke & Soffa Industries. K&S said on August 17 that Talluri would formally join the firm as president and CEO effective September 1. He has already been appointed to the board. California-headquartered Enovix said on August 18 CFO Ryan Benton had been appointed interim CEO. Executive chairman, Thurman Rodgers, said Talluri resigned days earlier “to pursue what he described as a dream job”. Enovix, which uses proprietary silicon-anode and graphite architectures for applications including EV and ESS applications, stressed Talluri’s departure was “not a strategy transition”. The company is already evaluating internal and external candidates for the post of CEO “with no rushed deadline”. Enovix said Benton joined the company as CFO in April 2025. He had previously worked at Silicon Valley semiconductor firm Exar — where he was promoted from CFO to CEO under what Enovix said were “circumstances similar to ours”. Before Enovix, Talluri held a number of executive posts including senior VP and GM of the mobile business unit at Micron Technology. He has also worked at Qualcomm CDMA Technologies. Talluri said: “K&S has built a unique portfolio of highly capable interconnect solutions and technical competencies which offer a higher level of value for our industry. I look forward to working with our diverse and talented global workforce to further extend this position and deliver on the growing set of opportunities ahead.” The post Enovix names Benton interim CEO as Talluri quits for ‘dream job’ appeared first on Batteries International .",full,,rss_full_content,https://www.batteriesinternational.com/news/enovix-names-benton-interim-ceo-as-talluri-quits-for-dream-job/,Batteries International,电池,无,2026-08-21T22:25:36+00:00,产业经济与组织 > 企业与资本 > 企业经营与公司治理,产业经济与组织,企业经营与公司治理,"[{""path"":[""产业经济与组织"",""企业与资本"",""企业经营与公司治理""],""path_text"":""产业经济与组织 > 企业与资本 > 企业经营与公司治理"",""confidence"":0.85,""reason"":""核心是Enovix CEO离职与临时CEO任命""}]",classified,2026-08-21T23:07:50.971629+00:00,glm-5.2,2026-08-14,
Lead recycler Gravita boosts copper expansion with new Mundra unit – Batteries International,2026-08-21,"Lead, News, Recycling
Read Later
Copper expansion follows acquisition of Rashtriya Metal Industries
Gravita India has unveiled plans to set up a copper recycling unit alongside its Mundra lead processing plant in Gujurat.
Gravita confirmed on August 19 that it will phase-in development of the 59,200 tonnes per annum copper unit at an investment cost of INR64.00 crore ($6.7 million).
The announcement followed the firm’s acquisition of a 98.5% stake in Rashtriya Metal Industries — a key Indian producer of copper and copper alloy products — as
reported
Batteries International
last April.
The new Mundra facility will be primarily involved in the processing of copper bearing recyclable materials, which Gravita said would serve as a backward integration initiative for a planned copper recycling plant around 40km away at Mandvi.
Plans for Mandvi were announced last May. Commercial operations are expected to start there within 12 months and the site will have an eventual processing capacity of around 30,000tpa.
Gravita did not disclose when operations at Mundra are expected to start but said the project will mark another significant step in its strategy to strengthen its presence in the non-ferrous metal recycling sector and capitalise on growing demand for recycled copper in domestic and international markets.
Mundra’s close proximity to one of India’s major ports provides logistical advantages for sourcing raw materials and serving all markets, Gravita said.
Gravita has said previously that expansion into the copper market, including recycling from copper scrap to copper alloys, would complement its existing businesses in lead, plastic, rubber, and aluminium recycling and boost its export presence.
Batteries International
reported
last month that Gravita was closing its Kathua lead recycling subsidiary, in the north of the country, as part of a group consolidation plan. The group said the same line of business was already underway at its Jaipur manufacturing facility.
Photo: Rashtriya Metal Industries",full,,dom_or_structured_full_text,https://www.batteriesinternational.com/news/lead-recycler-gravita-boosts-copper-expansion-with-new-mundra-unit/,Batteries International,电池,无,2026-08-21T22:25:38+00:00,零碳产业 > 物质循环 > 资源处理 > 资源回收,零碳产业,资源回收,"[{""path"":[""零碳产业"",""物质循环"",""资源处理"",""资源回收""],""path_text"":""零碳产业 > 物质循环 > 资源处理 > 资源回收"",""confidence"":0.93,""reason"":""核心事件是新建铜回收工厂处理含铜废料，属金属资源循环利用。""},{""path"":[""零碳产业"",""物质循环"",""无机物"",""有色金属"",""铜业""],""path_text"":""零碳产业 > 物质循环 > 无机物 > 有色金属 > 铜业"",""confidence"":0.8,""reason"":""项目为铜及铜合金的再生加工与后向一体化，属铜产业供应链。""}]",classified,2026-08-21T23:08:00.833004+00:00,glm-5.2,2026-08-14,
Anthro Energy starts work on $42m electrolyte plant in Kentucky – Batteries International,2026-08-21,"Anthro Energy has broken ground on a $42 million manufacturing plant in Louisville that is set to start producing 12,000 tonnes of advanced polymer electrolyte annually from late 2027. The facility will produce enough electrolyte to support up to 25GWh of lithium ion battery production for energy storage systems, mobility and other applications, the Silicon Valley-based company announced on August 19. Construction at Louisville marks the firm’s transition from planning into execution and a key milestone toward boosting US manufacturing capacity for battery material, Anthro said. The company, a spin-out from Stanford University, will manufacture its proprietary Anthro Proteus tech platform, which uses a ‘phase-change electrolyte’ that transitions from a liquid to a solid polymer within the battery cell. The technology is claimed to improve battery safety, increase energy density and enable greater design flexibility while remaining compatible with existing Li-ion manufacturing infrastructure, Anthro said. Louisville will be equipped with standard manufacturing equipment capable of producing multiple advanced electrolyte formulations. Construction comes just months after the US Department of Energy gave the go-ahead to ‘fully execute’ the project, following a $24.9 million award to Anthro under the US Infrastructure Investment and Jobs Act and $18.4 million in investment tax credits. David Mackanic, CEO and co-founder of Anthro said: “By producing advanced electrolytes here in the US, we’re helping build a more resilient domestic supply chain while enabling the next generation of safer, higher-performing batteries.” The post Anthro Energy starts work on $42m electrolyte plant in Kentucky appeared first on Batteries International .",full,,rss_full_content,https://www.batteriesinternational.com/news/anthro-energy-starts-work-on-42m-electrolyte-plant-in-kentucky/,Batteries International,电池,无,2026-08-21T22:25:39+00:00,零碳产业 > 能量循环 > 能量存储 > 电化学储能 > 二次电池 > 锂电池,零碳产业,锂电池,"[{""path"":[""零碳产业"",""能量循环"",""能量存储"",""电化学储能"",""二次电池"",""锂电池""],""path_text"":""零碳产业 > 能量循环 > 能量存储 > 电化学储能 > 二次电池 > 锂电池"",""confidence"":0.92,""reason"":""核心是锂离子电池用先进聚合物电解质的量产工厂，直接服务锂电池制造。""}]",classified,2026-08-21T23:08:00.833004+00:00,glm-5.2,2026-08-14,
East Penn ranked among America’s best private firms – Batteries International,2026-08-21,"Lead, News
Read Later
East Penn employees at the firm's Power2Recycle event in May 2026
East Penn Manufacturing has joined the prestigious ranks of TIME’s America’s Best Private Companies for 2026.
The annual ranking, presented in collaboration with Statista, recognises the top private companies in the US based on employee satisfaction and company impact.
The lead battery major said on August 4 it had placed 18th among 500 private companies nationwide.
Rankings are based on an independent evaluation that includes employee survey responses from around 217,000 US employees collected over a three-year period.
Assessments also consider each company’s societal impact through research conducted in partnership with The Upright Project, which evaluates contributions across society, knowledge, health, and the environment.
Pete Stanislawczyk, East Penn’s CEO, said: “This recognition reflects the commitment of our employees and the values that have guided East Penn for 80 years.
“As a privately held, family-owned company, we can focus on what matters most: our people, our customers, and long-term success that will benefit all those we serve.”
The TIME accolade comes after East Penn
received
other honours earlier this year, including named as one of the best placed to work in Pennsylvania and Texas in 2025 — as well as one of the 2026 best places to work in manufacturing nationally.
Photo: Connor Brady",full,,dom_or_structured_full_text,https://www.batteriesinternational.com/news/east-penn-ranked-among-americas-best-private-firms/,Batteries International,电池,无,2026-08-21T22:25:41+00:00,产业经济与组织 > 企业与资本 > 企业经营与公司治理,产业经济与组织,企业经营与公司治理,"[{""path"":[""产业经济与组织"",""企业与资本"",""企业经营与公司治理""],""path_text"":""产业经济与组织 > 企业与资本 > 企业经营与公司治理"",""confidence"":0.85,""reason"":""核心事件是铅电池企业获得最佳私企排名荣誉，属企业经营与公司声誉。""}]",classified,2026-08-21T23:08:00.833004+00:00,glm-5.2,2026-08-14,
How Kimberly-Clark's Fibre Tests can Reshape Supply Chains,2026-08-21,"How Kimberly-Clark's Fibre Tests can Reshape Supply Chains
Prioritise Us
on Google
Kimberly-Clark has unveiled a proprietary alternative natural fibre platform built from hesperaloe. Credit: Getty Images
Kimberly-Clark's Craig Slavtcheff, Chief R&D Officer, has unveiled a hesperaloe fibre platform that could reshape its global supply chain
Kimberly-Clark has unveiled a proprietary alternative natural fibre platform built from hesperaloe, a
low-water-use
succulent grown in the arid US Southwest.
Following a long testing process, the company has entered pilot stages for its hesperaloe fibre platform.
Kimberly-Clark believes the breakthrough has the potential to power the company's future hygiene products with enhanced performance, quality, and sustainability.
Its customer portfolio includes Huggies, Kleenex, Scott and Kotex, sitting as one of the leading manufacturers within the hygiene industry.
Kimberly-Clark's customer portfolio includes Huggies, Kleenex, Scott and Kotex. Credit: Kimberly-Clark
Kimberly-Clark’s announcement
The company's Alternative Natural Fibre Innovation Program is based in Yuma, Arizona.
Kimberly-Clark is building a pilot facility after evaluating more than 70 fibre candidates for performance, sustainability and cost.
Hesperaloe was selected for its low water requirements relative to other regional crops and its potential to match the performance standards of the wood-pulp fibre used across Kimberly-Clark's hygiene brands.
Kimberly-Clark’s numbers
More than 70 fibre candidates evaluated
One pilot facility under construction in Arizona, US
150-year history of innovation
Brands hold No. 1 or No. 2 share positions in roughly 70 countries
More than two decades of materials and plant science research
This is an innovation with the potential to reshape the hygiene category.
Craig Slavtcheff, Chief Research and Development Officer of Kimberly-Clark
Reshaping the hygiene industry
Wood pulp supply chains face multiple challenges to meet the demands of companies across the world.
They can be geographically concentrated, exposed to forestry regulation and vulnerable to weather and commodity price swings.
Hesperaloe offers Kimberly-Clark something wood pulp struggles to provide.
It can create a
domestic, agricultural supply chain
that the company can build and influence directly.
This will help to remove issues around sourcing from third-party forestry operations spread across multiple countries.
Craig Slavtcheff, Chief Research and Development Officer of Kimberly-Clark, says: “These novel natural fibres will form our next great materials platform – an innovation with the potential to reshape the hygiene category.”
If hesperaloe fibre proves viable at scale, it could set a precedent for other tissue and hygiene manufacturers.
Companies like Procter & Gamble can
face the same pulp market pressures
, which could be improved by Kimberly-Clark’s strategy.
The programme is still in its pilot stage, but Kimberly-Clark has described the early results as promising.
Key Companies
Kimberly-Clark
Headquarters:
Texas, US
Mike Hsu
Kimberly-Clark is a consumer goods manufacturer whose hygiene and personal care brands reach people in more than 175 countries and territories.
Best known for brands including Huggies, Kleenex, Scott, Kotex, Cottonelle, Poise, Depend and Pull-Ups, the company holds No. 1 or No. 2 share positions in around 70 countries.
With a history spanning more than 150 years, Kimberly-Clark has built its business around large-scale manufacturing of everyday paper- and fibre-based products, supported by a global raw material and distribution supply chain.
Procter & Gamble
Headquarters:
Ohio, US
Jon R. Moeller
Procter & Gamble is a global consumer goods giant whose personal care, hygiene and household products reach consumers in over 180 countries and territories.
Best known for iconic brands including Tide, Pampers, Crest, Gillette, Downy, Head & Shoulders and Pantene, the company holds leading market positions across its core categories.
With a history exceeding 180 years, P&G operates an advanced global manufacturing network, supported by end-to-end supply chain integration, continuous product innovation and large-scale industrial distribution.
Company portals
Kimberly-Clark
Procter & Gamble (P&G)
Executives
Jon Moeller
Chairman of the Board, President & Chief Executive Officer at Procter & Gamble
Mike Hsu",full,,dom_or_structured_full_text,https://supplychaindigital.com/news/how-kimberly-clarks-fibre-tests-can-reshape-supply-chains,Supply Chain Digital,综合媒体,关键原材料/矿产,2026-08-21T22:26:36+00:00,产业经济与组织 > 产业服务 > 供应链、贸易与专业服务,产业经济与组织,供应链、贸易与专业服务,"[{""path"":[""产业经济与组织"",""产业服务"",""供应链、贸易与专业服务""],""path_text"":""产业经济与组织 > 产业服务 > 供应链、贸易与专业服务"",""confidence"":0.75,""reason"":""核心是替代天然纤维平台对全球供应链和采购结构的重塑。""}]",classified,2026-08-21T23:08:00.833004+00:00,glm-5.2,2026-08-14,
